song_code,song_name,artist_name,artist2_name
s0032,"Keep It Light","Jack Harlow",
s0686,"Keep Their Heads Ringin'","Dr. Dre",
s0841,"Kickstart My Heart","Mötley Crüe",
s0749,"Killer Whale","Andre Nickatina",
s0373,"King Nothing",Metallica,
s0431,"Kings of Summer - Single Version",ayokay,"Quinn XCII"
s0183,"Knuck If You Buck","Crime Mob",
s0293,"Ku Lo Sa",Oxlade,
s0408,"La Chona","Los Tucanes De Tijuana",
s0619,"La Copa","Don Omar",
s0517,"La Jumpa",Arcángele,"Bad Bunny"
s0031,"La Llevo Al Cielo","Chris Jedi",
s0328,"La Muchachita","Anthony Santos",
s0665,"La Piri REMIX","Rochy Rod","El Cherry"
s0207,"La Rebelión","Joe Arroyo","La Verdad"
s0883,"La Resistencia PR",Redimi2,
s0089,"La Santa","Bad Bunny","Daddy Yankee"
s0335,"La Vida es un Carnaval","Celia Cruz",
s0867,"Las Avispas","Juan Luis Guerra",
s0134,"Last Last","Burna Boy",
s0826,"Last Night","Morgan Wallen",
s0362,"Last Red Down","Lincoln Durham",
s0721,"Lay Low",Tiesto,
s0772,LAYERS,NF,
s0575,"Lean Back","Terror Squad","Fat Joe"
s0459,"Lemon Pepper Freestyle",Drake,"Rick Ross"
s0818,Lenier,"Un Millon",
s0007,"Let The Beat Build","Lil Wayne",
s0105,"Let's Get Married (ReMarqable Remix)","Jagged Edge",Run
s0272,"Let´s Get It","Neutro Shorty",
s0732,Levels,Avicii,
s0764,Levels,BigXthaPlug,
s0064,"Levels - Radio Edit",Avicii,
s0237,Leyenda,"Anuel AA",
s0157,Lifestyle,"Rich Gang","Young Thug"
s0743,"Like I Love You","Justin Timberlake",
s0164,"Like Wooh Wooh",Rnbstylerz,
s0131,"Lil Bit",Nelly,"Florida Georgia Line"
s0256,"Lil' Bit","Florida Georgia Line and Nelly",
s0205,LION,"Elevation Worship","Chris Brown"
s0768,"Little Wing","Stevie Ray Vaughn",
s0360,"Live Your Life",T.I.,Rihanna
s0022,"Living Water","Shane and Shane",
s0252,"Llego El Real Remix- En Vivo","Omega El Fuerte",Ozuna
s0557,"Locked Up",Akon,
s0034,"Lonely Is The Night","Billy Squier",
s0630,"Look Ahead",Future,
s0189,"Lord Knows",Drake,"Rick Ross"
s0136,"Lose Control",MEDUZA,"Becky Hill"
s0546,"Loud and Heavy","Cody Jinks",
s0742,Loyal,Odesza,
s0714,"Lucky Man","Montgomery Gentry",
s0670,MAGIC,"Vince Staples",
s0038,"Make It Rain","Travis Porter",
s0756,"Mambo Italiano (Trap Remix)","Andy White",
s0351,"Man Made A Bar",Wallen,Church
s0861,"Manduko - Victor Porfidio Remix",Jimmix,Alfredo
s0250,"Maracay Way",Manybeat,Jimmix
s0773,"Married To The Game",Future,
s0303,"Mas De La Una","Piso 21",
s0193,Matador,Marnik,"Miami Blue"
s0796,"Mbappé (Remix)","Eladio Carrión",
s0175,"Me & My Demons",OMIDO,"Silent Child"
s0087,"Me gustas - En vivo","Isreal Morales","Groupo Frontera"
s0647,"Me Olvide de Vivir","Tono Rosario",
s0279,"Me On Whiskey","Morgan Wallen",
s0264,"Me or Sum","Nardo Wick",Future
s0736,"Me Porto Bonito","Bad Bunny",
s0223,Medallo,Blessd,"Justin Quiles"
s0248,"Meet Me in the Middle",Zedd,
s0579,"Messin' with the King","Olivia King",
s0858,"Mexican Wind","Ryan Wilcox","The Sunday Shakes"
s0345,"Mi Nina",Ozuna,
s0585,"Mi Ultima Dia","Tercer Cielo",
s0226,"Middle Child","J Cole",
s0612,"Midnight Train to Memphis","Chris Stapleton",
s0453,"Mírenme Ahora","Myke Towers",
s0578,Misericordia,"Onell Diaz",
s0799,"Mississippi Queen",Mountain,
s0895,MisUnderstood,"Lil Jairmy",
s0706,"Mob Ties",Drake,
s0886,Money,"Pink Floyd",
s0626,"MONEY & FAME",NEEDTOBREATHE,
s0862,"Money For Nothing","Dire Straights",
s0500,"Money Trees","Kendrick Lamar","Jay Rock"
s0645,"Moreno Soy","La Sonora Ponceña","Papo Lucca"
s0435,Mother,Danzing,
s0544,"Motley Crew","Post Malone",
s0153,"Mr. Blue Sky","Electric Light Orchestra",
s0648,"Mr. Rager","Kid Cudi",
s0501,"Ms. Poli Sci","Paul Russell",Khary
s0381,"Mueve Tu Cintura","Los Tigrillos",
s0111,"Must Be The Feeling",NERO,
s0824,MVP,"Big L",
s0065,"My Hero","Foo Fighters",
s0281,"My Kind Of Party","Jason Aldean",
s0769,"My Own Summer (Shove It)",Deftones,
s0615,"My Rocket","J. Monty",
s0151,"My Songs Know What You Did In The Dark (Light Em Up)","Fall Out Boy",
s0534,"N****s in Paris",Jay-Z,"Kanye West"
s0531,Narco,"Blaster Jaxx","Timmy Trumpet"
s0611,"Narrow Road","NLE Choppa",
s0599,"Need It",Migos,
s0748,"Neon Grave","Tyler Braden",
s0568,Neverita,"Bad Bunny",
s0650,"New Noise",Refused,
s0015,"New Year's Day","Charlie Robison",
s0711,"Night Shift","John Pardi","John Pardi"
s0211,"Nikes On My Feet","Mac Miller",
s0836,"No Diggity",Blackstreet,"Dr. Dre"
s0461,"No Fear","DeJ Loaf",
s0888,"No Friends in the Industry",Drake,
s0327,"No Guardo Luto","Josa Pena",
s0019,"No Hands","Waka Flocka Flame","Roscoe Dash"
s0894,"No Le Pegue A La Negra","Joe Arroyo",
s0516,"No Long Talk",Drake,
s0297,"No Longer Bound","Forrest Frank",Hulvey
s0185,"No Problem","Lil Scrappy",
s0309,"No Se Va (En Vivo)","Grup Frontera",
s0669,"No Sleep","Wiz Khalifa",
s0452,Nobody,"Casting Crowns","Matthew West"
s0160,"Noche de Arreboles","Joe Arroyo",
s0703,"Nolia Clap",Juvenile,Wacko
s0030,Nonstop,Drake,
s0100,"Nothin' But a Good Time",Poison,
s0244,"Nothing Holds Me Down","Ryan Bingham",
s0349,Numb,"Linkin Park",
